"brand","ageGroup","duplicate_label"
"category","ageGroup","duplicate_label"
"class","ageGroup","duplicate_label"
"closureType","ageGroup","duplicate_label"
"color","ageGroup","duplicate_label"
"coreProduct","ageGroup","duplicate_label"
"custom2","ageGroup","duplicate_label"
"custom3","ageGroup","duplicate_label"
"cutType","ageGroup","duplicate_label"
"department","ageGroup","duplicate_label"
"description","ageGroup","duplicate_label"
"descriptionBlocks","ageGroup","duplicate_label"
"descriptionHtml","ageGroup","duplicate_label"
"descriptiveColor","ageGroup","duplicate_label"
"dropshipName","ageGroup","duplicate_label"
"expeditedOverrideShipping","ageGroup","duplicate_label"
"familySizing","ageGroup","duplicate_label"
"fastFashion","ageGroup","duplicate_label"
"firstReceived","ageGroup","duplicate_label"
"fit","ageGroup","duplicate_label"
"heelHeight","ageGroup","duplicate_label"
"heelType","ageGroup","duplicate_label"
"height","ageGroup","duplicate_label"
"hideImageDate","ageGroup","duplicate_label"
"hype","ageGroup","duplicate_label"
"keywords","ageGroup","duplicate_label"
"klPostDate","ageGroup","duplicate_label"
"lastReceived","ageGroup","duplicate_label"
"launchDate","ageGroup","duplicate_label"
"league","ageGroup","duplicate_label"
"length","ageGroup","duplicate_label"
"longDescription","ageGroup","duplicate_label"
"madeIn","ageGroup","duplicate_label"
"map","ageGroup","duplicate_label"
"mediaStatus","ageGroup","duplicate_label"
"metaDescription","ageGroup","duplicate_label"
"metaName","ageGroup","duplicate_label"
"name","ageGroup","duplicate_label"
"newCollection","ageGroup","duplicate_label"
"outsoleMaterial","ageGroup","duplicate_label"
"platformHeight","ageGroup","duplicate_label"
"primaryColor","ageGroup","duplicate_label"
"productIsActive","ageGroup","duplicate_label"
"productIsDropship","ageGroup","duplicate_label"
"promo","ageGroup","duplicate_label"
"rics","ageGroup","duplicate_label"
"ropiScore","ageGroup","duplicate_label"
"scomRegularPrice","ageGroup","duplicate_label"
"scomSalePrice","ageGroup","duplicate_label"
"seoName","ageGroup","duplicate_label"
"shoeHeightMap","ageGroup","duplicate_label"
"shortDescription","ageGroup","duplicate_label"
"sku","ageGroup","duplicate_label"
"slug","ageGroup","duplicate_label"
"smartDetectSummary","ageGroup","duplicate_label"
"sportsTeam","ageGroup","duplicate_label"
"standardShippingOverride","ageGroup","duplicate_label"
"status","ageGroup","duplicate_label"
"store1","ageGroup","duplicate_label"
"store4","ageGroup","duplicate_label"
"storeInv","ageGroup","duplicate_label"
"styleId","ageGroup","duplicate_label"
"taxClass","ageGroup","duplicate_label"
"templateKey","ageGroup","duplicate_label"
"templateOverrideKey","ageGroup","duplicate_label"
"totalInv","ageGroup","duplicate_label"
"validationFlags","ageGroup","duplicate_label"
"variantCount","ageGroup","duplicate_label"
"warehouseInv","ageGroup","duplicate_label"
"website","ageGroup","duplicate_label"
"whsInv","ageGroup","duplicate_label"
"descriptive.ageGroup","age_group","duplicate_label"
"descriptive.closureType","closure_type","duplicate_label"
"gender","descriptive.gender","duplicate_label"
"heel_height","descriptive.heelHeight","duplicate_label"
"heel_type","descriptive.heelType","duplicate_label"
"material","descriptive.material","duplicate_label"
"primary_color","descriptive.primaryColor","duplicate_label"
"launch.launchDate","launch_date","duplicate_label"
"sku_core.mpn","mpn","duplicate_label"
"sku_core.brand","rics_source.brand","duplicate_label"
"sku_core.category","rics_source.category","duplicate_label"
"width","technical.width","duplicate_label"
