sku,product_doc_id,unknown_key,unknown_value,all_attributes_json
JW5200,JW5200,style,,"{""_migratedVersion"": ""1.0.0"", ""mpn"": ""JW5200"", ""style"": {}, ""_migratedAt"": ""2025-12-09T04:29:58.216000+00:00"", ""primary_color"": ""SHARED/ALUMI"", ""brand"": ""ADIDAS""}"
JX7730,JX7730,style,,"{""_migratedVersion"": ""1.0.0"", ""mpn"": ""JX7730"", ""style"": {}, ""_migratedAt"": ""2025-12-09T04:29:58.236000+00:00"", ""primary_color"": ""BETSCA"", ""brand"": ""ADIDAS""}"
JZ1120,JZ1120,style,,"{""_migratedVersion"": ""1.0.0"", ""mpn"": ""JZ1120"", ""style"": {}, ""_migratedAt"": ""2025-12-09T04:29:58.212000+00:00"", ""primary_color"": ""MGREYH/WHITE"", ""brand"": ""ADIDAS""}"
KB3060,KB3060,style,,"{""_migratedVersion"": ""1.0.0"", ""mpn"": ""KB3060"", ""style"": {}, ""_migratedAt"": ""2025-12-09T04:29:58.235000+00:00"", ""primary_color"": ""DKBLUE/WHITE"", ""brand"": ""ADIDAS""}"
KG2677,KG2677,style,,"{""_migratedVersion"": ""1.0.0"", ""mpn"": ""KG2677"", ""style"": {}, ""_migratedAt"": ""2025-12-09T04:29:58.217000+00:00"", ""primary_color"": ""BETSCA/WHITE"", ""brand"": ""ADIDAS""}"
KH1744,KH1744,style,,"{""_migratedVersion"": ""1.0.0"", ""mpn"": ""KH1744"", ""style"": {}, ""_migratedAt"": ""2025-12-09T04:29:58.236000+00:00"", ""primary_color"": ""Black/Green"", ""brand"": ""ADIDAS""}"
KI5719,KI5719,style,,"{""_migratedVersion"": ""1.0.0"", ""mpn"": ""KI5719"", ""style"": {}, ""_migratedAt"": ""2025-12-09T04:29:58.212000+00:00"", ""primary_color"": ""SAMBA OG W GOLDMT/FTWWHT/CWHITE"", ""brand"": ""ADIDAS""}"
LLD1316162-EGG,LLD1316162-EGG,descriptive.gender,,"{""_migratedAt"": ""2025-12-09T04:29:58.216000+00:00"", ""age_group"": """", ""fit"": """", ""class"": """", ""mpn"": ""LLD1316162-EGG"", ""_migratedVersion"": ""1.0.0"", ""brand"": """", ""category"": """", ""descriptive.gender"": """", ""department"": """"}"
LLD5316107-BLK,LLD5316107-BLK,style,,"{""_migratedVersion"": ""1.0.0"", ""mpn"": ""LLD5316107-BLK"", ""style"": {}, ""_migratedAt"": ""2025-12-09T04:29:58.239000+00:00"", ""primary_color"": ""BLACK"", ""brand"": ""PRO STANDARD""}"
M9160,M9160,style,,"{""_migratedAt"": ""2025-12-09T04:29:58.237000+00:00"", ""age_group"": ""Adult"", ""brand"": ""CONVERSE"", ""class"": ""Sneakers"", ""mpn"": ""M9160"", ""style"": {}, ""_migratedVersion"": ""1.0.0"", ""category"": ""None"", ""descriptive.gender"": ""Men's"", ""department"": ""Footwear""}"
M9160,M9160,descriptive.gender,Men's,"{""_migratedAt"": ""2025-12-09T04:29:58.237000+00:00"", ""age_group"": ""Adult"", ""brand"": ""CONVERSE"", ""class"": ""Sneakers"", ""mpn"": ""M9160"", ""style"": {}, ""_migratedVersion"": ""1.0.0"", ""category"": ""None"", ""descriptive.gender"": ""Men's"", ""department"": ""Footwear""}"
M9166,M9166,style,,"{""_migratedAt"": ""2025-12-09T04:29:58.239000+00:00"", ""age_group"": ""Adult"", ""brand"": ""CONVERSE"", ""class"": ""Sneakers"", ""mpn"": ""M9166"", ""style"": {}, ""_migratedVersion"": ""1.0.0"", ""category"": ""None"", ""descriptive.gender"": ""Men's"", ""department"": ""Footwear""}"
M9166,M9166,descriptive.gender,Men's,"{""_migratedAt"": ""2025-12-09T04:29:58.239000+00:00"", ""age_group"": ""Adult"", ""brand"": ""CONVERSE"", ""class"": ""Sneakers"", ""mpn"": ""M9166"", ""style"": {}, ""_migratedVersion"": ""1.0.0"", ""category"": ""None"", ""descriptive.gender"": ""Men's"", ""department"": ""Footwear""}"
MELANIE-21-BRCO,MELANIE-21-BRCO,descriptive.gender,,"{""_migratedAt"": ""2025-12-09T04:29:58.217000+00:00"", ""age_group"": """", ""fit"": """", ""class"": """", ""mpn"": ""MELANIE-21-BRCO"", ""_migratedVersion"": ""1.0.0"", ""brand"": """", ""category"": """", ""descriptive.gender"": """", ""department"": """"}"
MELANIE-39-BKFR,MELANIE-39-BKFR,descriptive.gender,,"{""_migratedAt"": ""2025-12-09T04:29:58.238000+00:00"", ""age_group"": """", ""fit"": """", ""class"": """", ""mpn"": ""MELANIE-39-BKFR"", ""_migratedVersion"": ""1.0.0"", ""brand"": """", ""category"": """", ""descriptive.gender"": """", ""department"": """"}"
MELANIE-39-TNML,MELANIE-39-TNML,descriptive.gender,,"{""_migratedAt"": ""2025-12-09T04:29:58.212000+00:00"", ""age_group"": """", ""fit"": """", ""class"": """", ""mpn"": ""MELANIE-39-TNML"", ""_migratedVersion"": ""1.0.0"", ""brand"": """", ""category"": """", ""descriptive.gender"": """", ""department"": """"}"
MKT25Q3-HD0861BLK,MKT25Q3-HD0861BLK,descriptive.gender,,"{""_migratedAt"": ""2025-12-09T04:29:58.215000+00:00"", ""age_group"": """", ""fit"": """", ""class"": """", ""mpn"": ""MKT25Q3-HD0861BLK"", ""_migratedVersion"": ""1.0.0"", ""brand"": """", ""category"": """", ""descriptive.gender"": """", ""department"": """"}"
MKT25Q3-LS0862WHT,MKT25Q3-LS0862WHT,descriptive.gender,,"{""_migratedAt"": ""2025-12-09T04:29:58.219000+00:00"", ""age_group"": """", ""fit"": """", ""class"": """", ""mpn"": ""MKT25Q3-LS0862WHT"", ""_migratedVersion"": ""1.0.0"", ""brand"": """", ""category"": """", ""descriptive.gender"": """", ""department"": """"}"
TEST-001,TEST-001,descriptive.gender,Mens,"{""descriptive.gender"": ""Mens"", ""_migratedAt"": ""2025-12-09T04:29:58.215000+00:00"", ""_normalizedAt"": ""2025-12-10T05:38:34.760000+00:00"", ""age_group"": ""Adult"", ""fit"": ""True to Size"", ""class"": ""Athletic"", ""mpn"": ""TEST-001"", ""brand"": ""The Tester"", ""_migratedVersion"": ""1.0.0"", ""primary_color"": ""Black"", ""materials"": [], ""category"": ""Casual"", ""department"": ""Footwear""}"
TEST-001,TEST-001,materials,,"{""descriptive.gender"": ""Mens"", ""_migratedAt"": ""2025-12-09T04:29:58.215000+00:00"", ""_normalizedAt"": ""2025-12-10T05:38:34.760000+00:00"", ""age_group"": ""Adult"", ""fit"": ""True to Size"", ""class"": ""Athletic"", ""mpn"": ""TEST-001"", ""brand"": ""The Tester"", ""_migratedVersion"": ""1.0.0"", ""primary_color"": ""Black"", ""materials"": [], ""category"": ""Casual"", ""department"": ""Footwear""}"
TEST-002,TEST-002,descriptive.gender,,"{""_migratedAt"": ""2025-12-09T04:29:58.219000+00:00"", ""age_group"": """", ""fit"": """", ""class"": """", ""mpn"": ""TEST-002"", ""_migratedVersion"": ""1.0.0"", ""brand"": """", ""category"": """", ""descriptive.gender"": """", ""department"": """"}"
TEST-003,TEST-003,descriptive.gender,,"{""_migratedAt"": ""2025-12-09T04:29:58.219000+00:00"", ""age_group"": """", ""fit"": """", ""class"": """", ""mpn"": ""TEST-003"", ""_migratedVersion"": ""1.0.0"", ""brand"": """", ""category"": """", ""descriptive.gender"": """", ""department"": """"}"
TEST-004,TEST-004,descriptive.gender,,"{""_migratedAt"": ""2025-12-09T04:29:58.214000+00:00"", ""age_group"": """", ""fit"": """", ""class"": """", ""mpn"": ""TEST-004"", ""_migratedVersion"": ""1.0.0"", ""brand"": """", ""category"": """", ""descriptive.gender"": """", ""department"": """"}"
TEST-005,TEST-005,descriptive.gender,,"{""_migratedAt"": ""2025-12-09T04:29:58.239000+00:00"", ""age_group"": """", ""fit"": """", ""class"": """", ""mpn"": ""TEST-005"", ""_migratedVersion"": ""1.0.0"", ""brand"": """", ""category"": """", ""descriptive.gender"": """", ""department"": """"}"
TEST-006,TEST-006,descriptive.gender,,"{""_migratedAt"": ""2025-12-09T04:29:58.246000+00:00"", ""age_group"": """", ""fit"": """", ""class"": """", ""mpn"": ""TEST-006"", ""_migratedVersion"": ""1.0.0"", ""brand"": """", ""category"": """", ""descriptive.gender"": """", ""department"": """"}"
TEST-007,TEST-007,descriptive.gender,,"{""_migratedAt"": ""2025-12-09T04:29:58.238000+00:00"", ""age_group"": """", ""fit"": """", ""class"": """", ""mpn"": ""TEST-007"", ""_migratedVersion"": ""1.0.0"", ""brand"": """", ""category"": """", ""descriptive.gender"": """", ""department"": """"}"
TEST-008,TEST-008,descriptive.gender,,"{""_migratedAt"": ""2025-12-09T04:29:58.236000+00:00"", ""age_group"": """", ""fit"": """", ""class"": """", ""mpn"": ""TEST-008"", ""_migratedVersion"": ""1.0.0"", ""brand"": """", ""category"": """", ""descriptive.gender"": """", ""department"": """"}"
TEST-009,TEST-009,descriptive.gender,,"{""_migratedAt"": ""2025-12-09T04:29:58.220000+00:00"", ""age_group"": """", ""fit"": """", ""class"": """", ""mpn"": ""TEST-009"", ""_migratedVersion"": ""1.0.0"", ""brand"": """", ""category"": """", ""descriptive.gender"": """", ""department"": """"}"
TP12224-LALBLCK,TP12224-LALBLCK,descriptive.gender,,"{""_migratedAt"": ""2025-12-09T04:29:58.215000+00:00"", ""age_group"": """", ""fit"": """", ""class"": """", ""mpn"": ""TP12224-LALBLCK"", ""_migratedVersion"": ""1.0.0"", ""brand"": """", ""category"": """", ""descriptive.gender"": """", ""department"": """"}"
TP12224-SF4BLCK,TP12224-SF4BLCK,descriptive.gender,,"{""_migratedAt"": ""2025-12-09T04:29:58.240000+00:00"", ""age_group"": """", ""fit"": """", ""class"": """", ""mpn"": ""TP12224-SF4BLCK"", ""_migratedVersion"": ""1.0.0"", ""brand"": """", ""category"": """", ""descriptive.gender"": """", ""department"": """"}"
VN000D7ZYJ71,VN000D7ZYJ71,style,,"{""_migratedVersion"": ""1.0.0"", ""mpn"": ""VN000D7ZYJ71"", ""style"": {}, ""_migratedAt"": ""2025-12-09T04:29:58.222000+00:00"", ""primary_color"": ""POP BLACK/GREEN"", ""brand"": ""VANS DISTRIBUTION CNT""}"
VN000EE6BGS1,VN000EE6BGS1,style,,"{""_migratedVersion"": ""1.0.0"", ""mpn"": ""VN000EE6BGS1"", ""style"": {}, ""_migratedAt"": ""2025-12-09T04:29:58.242000+00:00"", ""primary_color"": ""SUEDE BROWN/GREEN"", ""brand"": ""VANS DISTRIBUTION CNT""}"
VN000EGABX91,VN000EGABX91,style,,"{""_migratedVersion"": ""1.0.0"", ""mpn"": ""VN000EGABX91"", ""style"": {}, ""_migratedAt"": ""2025-12-09T04:29:58.247000+00:00"", ""primary_color"": ""PLAID NAVY"", ""brand"": ""VANS DISTRIBUTION CNT""}"
VN000EGARED1,VN000EGARED1,style,,"{""_migratedVersion"": ""1.0.0"", ""mpn"": ""VN000EGARED1"", ""style"": {}, ""_migratedAt"": ""2025-12-09T04:29:58.244000+00:00"", ""primary_color"": ""PLAID RED"", ""brand"": ""VANS DISTRIBUTION CNT""}"
YOKO-06-BKPU,YOKO-06-BKPU,style,,"{""_migratedVersion"": ""1.0.0"", ""mpn"": ""YOKO-06-BKPU"", ""style"": {}, ""_migratedAt"": ""2025-12-09T04:29:58.242000+00:00"", ""primary_color"": ""BLACK"", ""brand"": ""LEGEND FOOTWEAR INC""}"
SKU-1001,sku-1001,descriptive.material,Leather,"{""_migratedVersion"": ""1.0.0"", ""_migratedAt"": ""2025-12-09T04:29:58.245000+00:00"", ""brand"": ""Ropi"", ""primary_color"": ""Black"", ""descriptive.material"": ""Leather"", ""category"": ""Sneakers"", ""fit"": ""Regular""}"
SKU-1002,sku-1002,descriptive.material,Canvas,"{""_migratedVersion"": ""1.0.0"", ""_migratedAt"": ""2025-12-09T04:29:58.238000+00:00"", ""brand"": ""Ropi"", ""primary_color"": ""White"", ""descriptive.material"": ""Canvas"", ""category"": ""Casual"", ""fit"": ""Narrow""}"
SKU-1003,sku-1003,descriptive.material,Suede,"{""_migratedVersion"": ""1.0.0"", ""_migratedAt"": ""2025-12-09T04:29:58.244000+00:00"", ""brand"": ""Ropi"", ""primary_color"": ""Brown"", ""descriptive.material"": ""Suede"", ""category"": ""Boots"", ""fit"": ""Wide""}"
TEST-RUN-001,test-product-001,secondaryColor,White,"{""secondaryColor"": ""White"", ""age_group"": ""Adult"", ""sustainable"": true, ""primary_color"": ""Black"", ""style"": ""Athletic"", ""waterproof"": false, ""descriptive.material"": ""Mesh"", ""category"": ""Athletic"", ""descriptive.gender"": ""Men""}"
TEST-RUN-001,test-product-001,sustainable,True,"{""secondaryColor"": ""White"", ""age_group"": ""Adult"", ""sustainable"": true, ""primary_color"": ""Black"", ""style"": ""Athletic"", ""waterproof"": false, ""descriptive.material"": ""Mesh"", ""category"": ""Athletic"", ""descriptive.gender"": ""Men""}"
TEST-RUN-001,test-product-001,style,Athletic,"{""secondaryColor"": ""White"", ""age_group"": ""Adult"", ""sustainable"": true, ""primary_color"": ""Black"", ""style"": ""Athletic"", ""waterproof"": false, ""descriptive.material"": ""Mesh"", ""category"": ""Athletic"", ""descriptive.gender"": ""Men""}"
TEST-RUN-001,test-product-001,waterproof,,"{""secondaryColor"": ""White"", ""age_group"": ""Adult"", ""sustainable"": true, ""primary_color"": ""Black"", ""style"": ""Athletic"", ""waterproof"": false, ""descriptive.material"": ""Mesh"", ""category"": ""Athletic"", ""descriptive.gender"": ""Men""}"
TEST-RUN-001,test-product-001,descriptive.material,Mesh,"{""secondaryColor"": ""White"", ""age_group"": ""Adult"", ""sustainable"": true, ""primary_color"": ""Black"", ""style"": ""Athletic"", ""waterproof"": false, ""descriptive.material"": ""Mesh"", ""category"": ""Athletic"", ""descriptive.gender"": ""Men""}"
TEST-RUN-001,test-product-001,descriptive.gender,Men,"{""secondaryColor"": ""White"", ""age_group"": ""Adult"", ""sustainable"": true, ""primary_color"": ""Black"", ""style"": ""Athletic"", ""waterproof"": false, ""descriptive.material"": ""Mesh"", ""category"": ""Athletic"", ""descriptive.gender"": ""Men""}"
TEST-SNK-002,test-product-002,style,Casual,"{""age_group"": ""Infant"", ""style"": ""Casual"", ""waterproof"": false, ""descriptive.material"": ""Leather"", ""category"": ""Casual"", ""descriptive.gender"": ""Women"", ""primary_color"": ""White""}"
TEST-SNK-002,test-product-002,waterproof,,"{""age_group"": ""Infant"", ""style"": ""Casual"", ""waterproof"": false, ""descriptive.material"": ""Leather"", ""category"": ""Casual"", ""descriptive.gender"": ""Women"", ""primary_color"": ""White""}"
TEST-SNK-002,test-product-002,descriptive.material,Leather,"{""age_group"": ""Infant"", ""style"": ""Casual"", ""waterproof"": false, ""descriptive.material"": ""Leather"", ""category"": ""Casual"", ""descriptive.gender"": ""Women"", ""primary_color"": ""White""}"
TEST-SNK-002,test-product-002,descriptive.gender,Women,"{""age_group"": ""Infant"", ""style"": ""Casual"", ""waterproof"": false, ""descriptive.material"": ""Leather"", ""category"": ""Casual"", ""descriptive.gender"": ""Women"", ""primary_color"": ""White""}"
TEST-BOOT-003,test-product-003,descriptive.material,Leather,"{""descriptive.material"": ""Leather"", ""primary_color"": ""Brown"", ""age_group"": ""Adult"", ""sustainable"": false, ""descriptive.heelType"": ""Block"", ""brand"": ""TestBrand"", ""style"": ""Boots"", ""waterproof"": true, ""descriptive.heelHeight"": ""2 inches"", ""category"": ""Boots"", ""descriptive.gender"": ""Unisex"", ""department"": ""Footwear""}"
TEST-BOOT-003,test-product-003,sustainable,,"{""descriptive.material"": ""Leather"", ""primary_color"": ""Brown"", ""age_group"": ""Adult"", ""sustainable"": false, ""descriptive.heelType"": ""Block"", ""brand"": ""TestBrand"", ""style"": ""Boots"", ""waterproof"": true, ""descriptive.heelHeight"": ""2 inches"", ""category"": ""Boots"", ""descriptive.gender"": ""Unisex"", ""department"": ""Footwear""}"
TEST-BOOT-003,test-product-003,descriptive.heelType,Block,"{""descriptive.material"": ""Leather"", ""primary_color"": ""Brown"", ""age_group"": ""Adult"", ""sustainable"": false, ""descriptive.heelType"": ""Block"", ""brand"": ""TestBrand"", ""style"": ""Boots"", ""waterproof"": true, ""descriptive.heelHeight"": ""2 inches"", ""category"": ""Boots"", ""descriptive.gender"": ""Unisex"", ""department"": ""Footwear""}"
TEST-BOOT-003,test-product-003,style,Boots,"{""descriptive.material"": ""Leather"", ""primary_color"": ""Brown"", ""age_group"": ""Adult"", ""sustainable"": false, ""descriptive.heelType"": ""Block"", ""brand"": ""TestBrand"", ""style"": ""Boots"", ""waterproof"": true, ""descriptive.heelHeight"": ""2 inches"", ""category"": ""Boots"", ""descriptive.gender"": ""Unisex"", ""department"": ""Footwear""}"
TEST-BOOT-003,test-product-003,waterproof,True,"{""descriptive.material"": ""Leather"", ""primary_color"": ""Brown"", ""age_group"": ""Adult"", ""sustainable"": false, ""descriptive.heelType"": ""Block"", ""brand"": ""TestBrand"", ""style"": ""Boots"", ""waterproof"": true, ""descriptive.heelHeight"": ""2 inches"", ""category"": ""Boots"", ""descriptive.gender"": ""Unisex"", ""department"": ""Footwear""}"
TEST-BOOT-003,test-product-003,descriptive.heelHeight,2 inches,"{""descriptive.material"": ""Leather"", ""primary_color"": ""Brown"", ""age_group"": ""Adult"", ""sustainable"": false, ""descriptive.heelType"": ""Block"", ""brand"": ""TestBrand"", ""style"": ""Boots"", ""waterproof"": true, ""descriptive.heelHeight"": ""2 inches"", ""category"": ""Boots"", ""descriptive.gender"": ""Unisex"", ""department"": ""Footwear""}"
TEST-BOOT-003,test-product-003,descriptive.gender,Unisex,"{""descriptive.material"": ""Leather"", ""primary_color"": ""Brown"", ""age_group"": ""Adult"", ""sustainable"": false, ""descriptive.heelType"": ""Block"", ""brand"": ""TestBrand"", ""style"": ""Boots"", ""waterproof"": true, ""descriptive.heelHeight"": ""2 inches"", ""category"": ""Boots"", ""descriptive.gender"": ""Unisex"", ""department"": ""Footwear""}"
